Delta,Latency
0.1,0.21443605422973633
0.1,0.3029618263244629
0.1,0.3438887596130371
0.1,0.3066370487213135
0.099,0.27421116828918457
0.101,0.19805645942687988
0.1,0.3148822784423828
0.1,0.3522520065307617
0.1,0.3123202323913574
0.1,0.2987048625946045
0.099,0.18738937377929688
0.101,0.2904815673828125
0.099,0.34955644607543945
0.1,0.31263041496276855
0.101,0.2936868667602539
0.099,0.1892704963684082
0.101,0.2909247875213623
0.1,0.34744882583618164
0.099,0.3103206157684326
0.101,0.29461669921875
0.099,0.18676304817199707
0.101,0.28996729850769043
0.1,0.34825706481933594
0.099,0.3129732608795166
0.1,0.290635347366333
0.1,0.276447057723999
0.101,0.33960962295532227
0.1,0.36234259605407715
0.099,0.27660036087036133
0.101,0.26203227043151855
0.099,0.24486136436462402
0.1,0.2945868968963623
0.101,0.3442709445953369
0.099,0.29601550102233887
0.101,0.2704906463623047
0.099,0.19079303741455078
0.1,0.3027310371398926
0.101,0.34844040870666504
0.1,0.32245492935180664
0.099,0.2937934398651123
0.1,0.20694446563720703
0.101,0.2916598320007324
0.1,0.32814860343933105
0.099,0.31113576889038086
0.101,0.29085516929626465
0.1,0.19387483596801758
0.1,0.2925150394439697
0.099,0.351240873336792
0.1,0.3117032051086426
0.101,0.29698729515075684
0.1,0.29380178451538086
0.1,0.37670111656188965
0.099,0.31488466262817383
0.101,0.27965831756591797
0.1,0.2594032287597656
0.1,0.2245328426361084
0.1,0.2825939655303955
0.101,0.37978243827819824
0.098,0.28641629219055176
0.101,0.27788805961608887
0.099,0.20145630836486816
0.101,0.2920806407928467
0.101,0.3502509593963623
0.099,0.3006167411804199
0.099,0.29114294052124023
0.102,0.20396947860717773
0.099,0.29389381408691406
0.1,0.36701083183288574
0.1,0.3365654945373535
0.1,0.3079416751861572
0.099,0.19612336158752441
0.101,0.3090171813964844
0.1,0.3964569568634033
0.099,0.31780314445495605
0.101,0.3112490177154541
0.1,0.19784879684448242
0.1,0.3068985939025879
0.099,0.35788464546203613
0.1,0.3275797367095947
0.1,0.3176300525665283
0.101,0.23464035987854004
0.1,0.32877635955810547
0.1,0.36712121963500977
0.1,0.32151150703430176
0.1,0.28412795066833496
0.1,0.2988095283508301
0.1,0.340700626373291
0.1,0.40489864349365234
0.1,0.2765226364135742
0.099,0.26105666160583496
0.101,0.23633337020874023
0.1,0.3235464096069336
0.1,0.38869690895080566
0.1,0.290921688079834
0.1,0.27813720703125
0.099,0.20942139625549316
0.101,0.3145902156829834
0.101,0.35734128952026367
0.099,0.31278562545776367
0.1,0.29741573333740234
0.104,0.21586298942565918
0.096,0.2886936664581299
0.1,0.397383451461792
0.1,0.33057689666748047
0.1,0.30879998207092285
0.099,0.20840120315551758
0.101,0.32407546043395996
0.1,0.3527810573577881
0.1,0.316880464553833
0.1,0.2964153289794922
0.1,0.28093624114990234
0.099,0.27845025062561035
0.101,0.3892858028411865
0.099,0.30603599548339844
0.101,0.2780928611755371
0.1,0.21676254272460938
0.1,0.30039048194885254
0.1,0.3472771644592285
0.1,0.3124380111694336
0.099,0.287294864654541
0.101,0.21231913566589355
0.099,0.2897069454193115
0.102,0.35434889793395996
0.099,0.3151674270629883
0.099,0.30831170082092285
0.1,0.19234108924865723
0.101,0.29321789741516113
0.099,0.3592367172241211
0.101,0.3135955333709717
0.099,0.2978940010070801
0.102,0.19660711288452148
0.099,0.30524373054504395
0.099,0.37140655517578125
0.1,0.33090662956237793
0.101,0.3070540428161621
0.099,0.1942887306213379
0.1,0.2926454544067383
0.101,0.35781359672546387
0.099,0.3280031681060791
0.101,0.29640793800354004
0.1,0.24790644645690918
0.099,0.31555724143981934
0.101,0.41518354415893555
0.1,0.2931554317474365
0.1,0.2708897590637207
0.1,0.26059699058532715
0.1,0.3462812900543213
0.1,0.36452770233154297
0.099,0.2796468734741211
0.1,0.24259686470031738
0.101,0.21609973907470703
0.1,0.2987022399902344
0.099,0.35467004776000977
0.101,0.2940390110015869
0.101,0.2828230857849121
0.1,0.190871000289917
0.099,0.2919788360595703
0.1,0.35785984992980957
0.099,0.3168363571166992
0.101,0.29585886001586914
0.099,0.22200775146484375
0.101,0.29349780082702637
0.1,0.35631656646728516
0.099,0.3188614845275879
0.101,0.29653096199035645
0.1,0.2590336799621582
0.099,0.2756834030151367
0.101,0.33476924896240234
0.1,0.3034508228302002
0.099,0.29190516471862793
0.1,0.22535991668701172
0.1,0.34299278259277344
0.101,0.3721485137939453
0.1,0.3403661251068115
0.099,0.30965375900268555
0.101,0.23376131057739258
0.099,0.31702280044555664
0.1,0.34619760513305664
0.1,0.31497740745544434
0.1,0.29474449157714844
0.1,0.21281695365905762
0.1,0.27409982681274414
0.102,0.34943461418151855
0.099,0.31618690490722656
0.099,0.2979695796966553
0.1,0.194260835647583
0.101,0.29423975944519043
0.1,0.35550546646118164
0.099,0.3128969669342041
0.1,0.30426526069641113
0.1,0.1895771026611328
0.101,0.2965872287750244
0.1,0.3964815139770508
0.099,0.3233659267425537
0.101,0.3003878593444824
0.099,0.24458670616149902
0.101,0.35314106941223145
0.1,0.441483736038208
0.1,0.30647897720336914
0.1,0.29372715950012207
0.1,0.2557799816131592
0.1,0.3204493522644043
0.101,0.38738179206848145
0.098,0.3065528869628906
0.101,0.28835487365722656
0.099,0.2749595642089844
0.101,0.3178236484527588
0.1,0.33936285972595215
0.099,0.29968810081481934
0.101,0.276658296585083
0.099,0.2383279800415039
0.101,0.31736016273498535
0.1,0.3401472568511963
0.1,0.30077075958251953
0.1,0.2781078815460205
0.099,0.20837020874023438
0.101,0.29132556915283203
0.1,0.3553624153137207
0.1,0.3144850730895996
0.099,0.2938213348388672
0.1,0.25095462799072266
