Delta,Latency,Num_of_topics
0.1,9.664719104766846,10
0.1,9.6654052734375,10
0.1,9.66609001159668,10
0.1,9.666772365570068,10
0.1,9.667538404464722,10
0.1,9.668251991271973,10
0.1,9.668992280960083,10
0.1,9.669729232788086,10
0.1,9.670437335968018,10
0.1,9.168144226074219,10
0.1,9.16891360282898,10
0.1,9.169593811035156,10
0.1,9.170276165008545,10
0.1,9.170958757400513,10
0.1,9.17164134979248,10
0.1,9.172322750091553,10
0.1,9.173047065734863,10
0.1,9.173728466033936,10
0.1,9.174410820007324,10
0.1,9.175090551376343,10
0.1,9.175771236419678,10
0.1,9.176451444625854,10
0.1,9.177204847335815,10
0.1,9.177887201309204,10
0.1,8.618571281433105,10
0.1,8.619252920150757,10
0.1,8.619939088821411,10
0.1,8.620619535446167,10
0.1,8.542402982711792,10
0.1,8.553224802017212,10
0.1,8.437339305877686,10
0.1,8.448108434677124,10
0.1,8.403496265411377,10
0.1,8.414332151412964,10
0.1,8.394999504089355,10
0.1,8.406861782073975,10
0.1,2.5686066150665283,10
0.1,2.432455539703369,10
0.101,2.3825628757476807,10
0.099,2.3534131050109863,10
0.1,2.228976249694824,10
0.1,2.1209988594055176,10
0.1,1.959317922592163,10
0.1,1.9447672367095947,10
0.1,1.9153661727905273,10
0.1,1.7894291877746582,10
0.1,1.6782069206237793,10
0.1,1.5174756050109863,10
0.1,1.4960026741027832,10
0.1,1.466252088546753,10
0.1,1.3432831764221191,10
0.1,1.2351875305175781,10
0.101,1.0450897216796875,10
0.1,1.0558743476867676,10
0.1,1.0258419513702393,10
0.099,0.9012558460235596,10
0.101,0.7946410179138184,10
0.099,0.5997679233551025,10
0.101,0.6105141639709473,10
0.1,0.5818123817443848,10
0.1,0.4581470489501953,10
0.1,0.3500370979309082,10
0.1,0.23924875259399414,10
0.1,0.30233192443847656,10
0.1,0.3266434669494629,10
0.1,0.2847273349761963,10
0.1,0.2716636657714844,10
0.1,0.20064187049865723,10
0.1,0.2790520191192627,10
0.1,0.34198546409606934,10
0.1,0.3041961193084717,10
0.099,0.2862977981567383,10
0.101,0.18436574935913086,10
0.1,0.2829585075378418,10
0.1,0.3402423858642578,10
0.1,0.3021128177642822,10
0.099,0.28163576126098633,10
0.1,0.20688438415527344,10
0.109,0.35526251792907715,10
0.092,0.3238856792449951,10
0.1,0.29081082344055176,10
0.1,0.2721750736236572,10
0.1,0.20705938339233398,10
0.1,0.3094148635864258,10
0.1,0.32862210273742676,10
0.1,0.2942986488342285,10
0.099,0.2780289649963379,10
0.101,0.17700886726379395,10
0.1,0.2767760753631592,10
0.1,0.3357431888580322,10
0.099,0.29939961433410645,10
0.1,0.281400203704834,10
0.1,0.20604300498962402,10
0.101,0.2702908515930176,10
0.099,0.32721829414367676,10
0.1,0.29128336906433105,10
0.101,0.2754476070404053,10
0.1,0.20761394500732422,10
0.1,0.27257704734802246,10
0.1,0.3328118324279785,10
0.1,0.2992212772369385,10
0.1,0.2815518379211426,11
0.1,0.2062673568725586,11
0.1,0.3062582015991211,11
0.1,0.32340288162231445,11
0.1,0.28746652603149414,11
0.1,0.2667720317840576,11
0.099,0.1927943229675293,11
0.101,0.2720494270324707,11
0.1,0.3344569206237793,11
0.1,0.30020999908447266,11
0.1,0.27898573875427246,11
0.1,0.18001079559326172,11
0.1,0.28248071670532227,11
0.1,0.3437221050262451,11
0.1,0.30924057960510254,11
0.099,0.28052854537963867,11
0.101,0.2070610523223877,11
0.1,0.3060333728790283,11
0.1,0.36737608909606934,11
0.1,0.3299417495727539,11
0.1,0.2686324119567871,11
0.1,0.2222881317138672,11
0.1,0.26486754417419434,11
0.101,0.32455897331237793,11
0.099,0.2891726493835449,11
0.1,0.269350528717041,11
0.101,0.1790459156036377,11
0.099,0.277127742767334,11
0.101,0.34395790100097656,11
0.1,0.30719757080078125,11
0.099,0.29458069801330566,11
0.1,0.2040846347808838,11
0.1,0.3030719757080078,11
0.1,0.3630208969116211,11
0.1,0.2828183174133301,11
0.1,0.264833927154541,11
0.1,0.19017863273620605,11
0.1,0.2704010009765625,11
0.1,0.3305037021636963,11
0.1,0.2970602512359619,11
0.1,0.27588915824890137,11
0.1,0.2057812213897705,11
0.1,0.27137184143066406,11
0.1,0.3305935859680176,11
0.1,0.2940561771392822,11
0.099,0.2738673686981201,11
0.101,0.2021620273590088,11
0.099,0.3027956485748291,11
0.101,0.3637421131134033,11
0.1,0.28122401237487793,11
0.1,0.26579833030700684,11
0.1,0.21859478950500488,11
0.1,0.29852294921875,11
0.1,0.3595726490020752,11
0.1,0.28278470039367676,11
0.099,0.26063013076782227,11
0.101,0.19468188285827637,11
0.1,0.27390384674072266,11
0.1,0.33992695808410645,11
0.1,0.2943131923675537,11
0.1,0.276456356048584,11
0.1,0.2051692008972168,11
0.101,0.27220726013183594,11
0.1,0.3319230079650879,11
0.099,0.2957134246826172,11
0.099,0.2753276824951172,11
0.101,0.1762073040008545,11
0.1,0.2761378288269043,11
0.1,0.33731651306152344,11
0.1,0.305539608001709,11
0.1,0.28831911087036133,11
0.1,0.17769932746887207,11
0.1,0.2780110836029053,11
0.1,0.33748364448547363,11
0.1,0.3027033805847168,11
0.1,0.2845585346221924,11
0.1,0.23536944389343262,11
0.099,0.29544663429260254,11
0.101,0.31818509101867676,11
0.1,0.2833530902862549,11
0.101,0.2643163204193115,11
0.099,0.17342853546142578,11
0.1,0.27271389961242676,11
0.1,0.33242154121398926,11
0.099,0.3049943447113037,11
0.1,0.27486705780029297,11
0.1,0.17396783828735352,11
0.101,0.2749502658843994,11
0.1,0.3370695114135742,11
0.099,0.3012809753417969,11
0.101,0.28455543518066406,11
0.099,0.20565152168273926,11
0.1,0.271991491317749,11
0.101,0.33245301246643066,11
0.1,0.2977011203765869,11
0.1,0.30027246475219727,11
0.099,0.2050461769104004,11
0.101,0.27623558044433594,11
0.099,0.33527159690856934,11
0.1,0.30237531661987305,11
0.1,0.2791461944580078,11
0.102,0.17918133735656738,11
0.099,0.2792825698852539,11
0.099,0.3854496479034424,11
0.1,0.3041396141052246,11
0.101,0.282151460647583,11
0.1,0.20824217796325684,11
0.1,0.307114839553833,11
0.1,0.32273411750793457,11
0.1,0.2893679141998291,11
0.1,0.2719109058380127,11
0.1,0.2309873104095459,11
0.1,0.3069126605987549,11
0.1,0.3658571243286133,11
0.1,0.2790391445159912,11
0.1,0.2640080451965332,11
0.1,0.22035861015319824,11
0.1,0.2991814613342285,11
0.1,0.31694889068603516,11
0.1,0.28254246711730957,11
0.1,0.26309919357299805,11
0.1,0.19668197631835938,11
0.1,0.27283477783203125,11
0.1,0.3304777145385742,11
0.1,0.2951216697692871,11
0.099,0.2740483283996582,11
0.1,0.17978763580322266,11
0.102,0.2772548198699951,11
0.099,0.3388402462005615,11
0.1,0.30439019203186035,11
0.1,0.2861459255218506,11
0.1,0.20886611938476562,11
0.101,0.31095099449157715,11
0.099,0.36945247650146484,11
0.1,0.2837350368499756,11
